-----
{
 "description": "The table refers to block wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.9.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.9.csv"
}
-----
State,District,Block,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
UTTAR PRADESH,AGRA,FATEHABAD,0,2,0,2
UTTAR PRADESH,AGRA,FATEHPUR SIKRI,NA,NA,NA,NA
UTTAR PRADESH,AGRA,JAGNER,NA,NA,NA,NA
UTTAR PRADESH,AGRA,JETPUR KALAN,NA,NA,NA,NA
UTTAR PRADESH,AGRA,KHANDOLI,NA,NA,NA,NA
UTTAR PRADESH,AGRA,KHERA GARH,NA,NA,NA,NA
UTTAR PRADESH,AGRA,PINAHAT,NA,NA,NA,NA
UTTAR PRADESH,AGRA,SAIYA,NA,NA,NA,NA
UTTAR PRADESH,AGRA,SHAMSABAD,0,1,0,1
UTTAR PRADESH,ALIGARH,AKRABAD,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,ATROLI,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,BIJOLI,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,CHANDOS,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,DHANIPUR,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,GANGIRI,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,GONDA,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,HASAYAN,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,HATHRAS,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,IGLAS,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,KHEAR,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,LODHA,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,MURSAN,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,SASNI,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,SIKANDRARAO,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,TAPPEL,NA,NA,NA,NA
UTTAR PRADESH,ALIGARH,ZAWAN,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,BAHADURPUR,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,BAHRIA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,CHAIL,2,5,0,7
UTTAR PRADESH,ALLAHABAD,CHAKA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,DHANUPUR,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,HANDIA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,HOLAGARH,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,JASRA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,KARA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,KARCHHANA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,KAUDHIYARA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,KAURIHAR,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,KORAON,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,KOSHAMBHI,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,MANDA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,MANJHANPUR,7,0,0,7
UTTAR PRADESH,ALLAHABAD,MAUAIMA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,MEJA,61,3,0,64
UTTAR PRADESH,ALLAHABAD,MURATGANJ,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,NEWADA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,PHULPUR,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,PRATAPPUR,2,0,0,2
UTTAR PRADESH,ALLAHABAD,SAIDABAD,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,SARSAWAN,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,SHANKARGARH,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,SIRATHU,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,SORAON,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,URUWAN,1,0,0,1
UTTAR PRADESH,ALMORA,BAGESHWAR,0,407,0,407
UTTAR PRADESH,ALMORA,BHAISIACHHANA,0,298,0,298
UTTAR PRADESH,ALMORA,BHIKIASAIN,0,112,0,112
UTTAR PRADESH,ALMORA,CHAUKHUTIA,0,473,0,473
UTTAR PRADESH,ALMORA,DHAULADEVI,0,263,0,263
UTTAR PRADESH,ALMORA,DWARAHAT,0,180,0,180
UTTAR PRADESH,ALMORA,GARUR,0,319,0,319
UTTAR PRADESH,ALMORA,HAWALBAG,0,139,0,139
UTTAR PRADESH,ALMORA,KAPKOT,0,403,0,403
UTTAR PRADESH,ALMORA,LAMGARA,0,411,0,411
UTTAR PRADESH,ALMORA,SALT,0,205,0,205
UTTAR PRADESH,ALMORA,SYALDE,0,229,0,229
UTTAR PRADESH,ALMORA,TAKULA,0,614,0,614
UTTAR PRADESH,ALMORA,TARIKHET,0,209,0,209
UTTAR PRADESH,AMBEDKAR NAGAR,AKBARPUR,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,BASHKHARI,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,BHITI,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,BHIYAV,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,JAHANGIR GANJ,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,JALAL PUR,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,KATEHARI,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,RAM NAGAR,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,TANDA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,AHIROLA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,ATROULIA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,AZAMATGARH,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,BILARIYA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,HARIYA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,JAHANA JANJ,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,KOAILSA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,LALGANJ,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,MAHARAJGANJ,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,MARTIN GANJ,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,MEHNAGAR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,MIRZA PUR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,MOHAMMADPUR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,PALHANI,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,PAWAI,0,16,0,16
UTTAR PRADESH,AZAMGARH,PHOOL PUR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,RANI KI SARAI,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,SANTHIYANVA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,TAHAUWARPUR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,TARAWA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,THEKAMA,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,AMBIYAPUR,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,ASAFPUR,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,BISAULI,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,DATAGANJ,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,DEHGWA,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,GUNNAUR,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,ISLAMNAGAR,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,JAGAT,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,JUNABAI,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,KADAR CHOKE,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,MYAUN,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,RAJPURA,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,SAHASWAN,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,SALARPUR,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,SAMRAR,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,UJHANI,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,USAWA,NA,NA,NA,NA
UTTAR PRADESH,BADAUN,WAZIRGANJ,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,BALHA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,CHITTURA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,FAKARPUR,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,GILAULA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,HARIHAR PUR RANI,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,HUJUR PUR,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,IKAUNA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,JAMUNHA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,JARWAL,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,KAISAR GANJ,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,MAHSHI,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,MIHIPURWA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,NAWAB GANJ,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,PAYAG PUR,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,RISHIYA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,SHIV PUR,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,SIRSHIYA,0,5,0,5
UTTAR PRADESH,BAHRAICH,TAJVAPUR,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,VISHESHAR GANJ,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,BAIRIA,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,BANSDEEH,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,BELHARI,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,BERUARBARI,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,CHILKHAR,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,DUBHAR,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,GARWARH,0,6,0,6
UTTAR PRADESH,BALLIA,HANUMANGANJ,7,1,0,8
UTTAR PRADESH,BALLIA,MANIER,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,MURLICHAPRA,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,NAGRA,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,NAWANAGAR,1,3,0,4
UTTAR PRADESH,BALLIA,PANDAH,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,RASRA,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,REVOTI,NA,NA,NA,NA
UTTAR PRADESH,BALLIA,SEAR,1,2,0,3
UTTAR PRADESH,BALLIA,SOHAON,NA,NA,NA,NA
UTTAR PRADESH,BANDA,BABERU,1,1,0,2
UTTAR PRADESH,BANDA,BAROKHAR KHURD,10,0,0,10
UTTAR PRADESH,BANDA,BISANDA,NA,NA,NA,NA
UTTAR PRADESH,BANDA,JASPURA,NA,NA,NA,NA
UTTAR PRADESH,BANDA,KAMASIN,2,7,0,9
UTTAR PRADESH,BANDA,KARVI,8,5,1,14
UTTAR PRADESH,BANDA,MAHUVA,1,0,0,1
UTTAR PRADESH,BANDA,MANIKPUR,NA,NA,NA,NA
UTTAR PRADESH,BANDA,MAU,NA,NA,NA,NA
UTTAR PRADESH,BANDA,NARAINI,16,6,0,22
UTTAR PRADESH,BANDA,PAHADI,NA,NA,NA,NA
UTTAR PRADESH,BANDA,RAM NAGAR,NA,NA,NA,NA
UTTAR PRADESH,BANDA,TINDWARI,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,BANIKODAR,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,BANKI,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,DARIYA BAD,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,DEVA,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,FATEHPUR,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,HAIDAR GARH,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,HARAKHA,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,MASAULI,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,MAVAI,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,NINDURA,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,PUREDALAI,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,RAM NAGAR,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,RUDAULI,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,SIDDHUAR,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,SIRAULI GOSEPUR,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,SURAT GANJ,NA,NA,NA,NA
UTTAR PRADESH,BARABANKI,TRIVEDI GANJ,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,AALAMPUR JAFARABAD,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,BAHERI,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,BHADPURA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,BHOJIPURA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,BHUTA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,BITHIRI CHAINPUR,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,FARIDPUR,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,FATEHGANJ (W),NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,KYARA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,MAJHGAWAN,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,MIRGANJ,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NAWABGANJ,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,RAM NAGAR,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,RICHHA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,SHERGARH,NA,NA,NA,NA
UTTAR PRADESH,BASTI,BAGHAULEE,NA,NA,NA,NA
UTTAR PRADESH,BASTI,BAHADUR PUR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,BANKATI,NA,NA,NA,NA
UTTAR PRADESH,BASTI,BASTI SADAR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,GAUR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,HAISAR BAZAR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,HARIYA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,KAPTAN GANG,NA,NA,NA,NA
UTTAR PRADESH,BASTI,KHALILABAD,NA,NA,NA,NA
UTTAR PRADESH,BASTI,KUDRAHA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,MENHDAWAL,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NATHNAGAR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,PARASRAMPUR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,RAM NAGAR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,RUDHOULI,NA,NA,NA,NA
UTTAR PRADESH,BASTI,SALTAUA GOPAL PUR,NA,NA,NA,NA
UTTAR PRADESH,BASTI,SAUGHAT,NA,NA,NA,NA
UTTAR PRADESH,BASTI,SEMARIYAWAN,NA,NA,NA,NA
UTTAR PRADESH,BASTI,VIKRAM JOT,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,AFJAL GAR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,AKKU NAHTOOR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,DHAMPUR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,HALDOOR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,JALILPUR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,KIRATPUR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,KOTWALI,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,MEERPUR HEVMAL,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NAJIVABAD,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NOORPUR,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,SHIVHARA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,ANUPSHAHR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,ARNIRYA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,B.B. NAGAR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,BULANDSHAHR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,DANKAOR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,DANPUR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,DIBAI,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,GULAWATHI,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,JAHAGIRABAD,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,JEWAR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,KHURJA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,LAKHAWATI,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,PAHASU,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,SHIKARPUR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,SIANA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,SIKANDRABAD,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,UNCHAGAON,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),AUGUSTMUNI,14,137,0,151
UTTAR PRADESH,CHAMOLI(GOPESHWAR),DASHOLI,42,192,10,244
UTTAR PRADESH,CHAMOLI(GOPESHWAR),DEWAL,8,83,0,91
UTTAR PRADESH,CHAMOLI(GOPESHWAR),GAIRSEN,18,285,1,304
UTTAR PRADESH,CHAMOLI(GOPESHWAR),GHAT,5,50,1,56
UTTAR PRADESH,CHAMOLI(GOPESHWAR),JOSHIMATH,7,86,4,97
UTTAR PRADESH,CHAMOLI(GOPESHWAR),KARNPRAYAG,42,113,1,156
UTTAR PRADESH,CHAMOLI(GOPESHWAR),NARAYANBAGGAR,60,164,1,225
UTTAR PRADESH,CHAMOLI(GOPESHWAR),POKHARI,25,166,6,197
UTTAR PRADESH,CHAMOLI(GOPESHWAR),THARALI,40,147,0,187
UTTAR PRADESH,CHAMOLI(GOPESHWAR),UKHIMATH,21,101,0,122
UTTAR PRADESH,DEHRADUN,CHAKRATA,19,116,0,135
UTTAR PRADESH,DEHRADUN,DOIWALA,17,30,0,47
UTTAR PRADESH,DEHRADUN,KALSI,12,154,0,166
UTTAR PRADESH,DEHRADUN,RAIPUR,16,135,0,151
UTTAR PRADESH,DEHRADUN,SAHASPUR,20,55,0,75
UTTAR PRADESH,DEHRADUN,VIKAS NAGAR,40,33,0,73
UTTAR PRADESH,DEORIA,BAITALPUR,0,1,0,1
UTTAR PRADESH,DEORIA,BANKATA,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,BARHAJ,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,BHAGALPUR,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,BHALUWANI,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,BHATANI,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,BHATPAR RANI,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,DEORIA SADAR,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,DESAHI DEORIA,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,GAURI BAZAR,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,LAR,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,PATHARDEVA,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,RAMPUR KARKHANA,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,RUDRAPUR,NA,NA,NA,NA
UTTAR PRADESH,DEORIA,SALEMPUR,NA,NA,NA,NA
UTTAR PRADESH,ETAH,ALIGANJ,NA,NA,NA,NA
UTTAR PRADESH,ETAH,AMANPUR,NA,NA,NA,NA
UTTAR PRADESH,ETAH,AWAGARH,NA,NA,NA,NA
UTTAR PRADESH,ETAH,GANJDUNDWARA,NA,NA,NA,NA
UTTAR PRADESH,ETAH,JAITHRA,NA,NA,NA,NA
UTTAR PRADESH,ETAH,JALESAR,NA,NA,NA,NA
UTTAR PRADESH,ETAH,KASGANJ,NA,NA,NA,NA
UTTAR PRADESH,ETAH,MARAHERA,NA,NA,NA,NA
UTTAR PRADESH,ETAH,NIDHOLI KALAN,NA,NA,NA,NA
UTTAR PRADESH,ETAH,PATIYALI,NA,NA,NA,NA
UTTAR PRADESH,ETAH,SAHAWAR,NA,NA,NA,NA
UTTAR PRADESH,ETAH,SAKIT,NA,NA,NA,NA
UTTAR PRADESH,ETAH,SHEETALPUR,NA,NA,NA,NA
UTTAR PRADESH,ETAH,SIDHPURA,NA,NA,NA,NA
UTTAR PRADESH,ETAH,SORON,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,ACHHALDA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,AIRWA KATRA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,AJEETMAL,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,AURAIYA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,BADPURA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,BASREHAR,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,BHAGAY NAGAR,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,BHARTHANA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,BIDHUNA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,CHAKARNAGAR,0,1,0,1
UTTAR PRADESH,ETAWAH,JASWANT NAGAR,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,MAHEWA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,SAHAR,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,SAIPHAI,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,TAKHA,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,AMANI GANJ,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,BIKAPUR,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,HASTINPUR,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,MASONDHA,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,MAYA,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,MILKI PUR,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,PURA,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,SOHAWAL,NA,NA,NA,NA
UTTAR PRADESH,FAIZABAD,TARUN,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,BADPUR,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,CHHIBRAMAU,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,HASERAN,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,JALABAD,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,KAMALGANJ,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,KANNAUJ,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,KAYAMGUNJ,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,MOHAMMADABAD,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,NAWABGANJ,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,RAJEPUR,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,SAURIKH,1,15,0,16
UTTAR PRADESH,FARUKHABAD,SHAMSABAD,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,TALGRAM,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,UMARDA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,AIRAYA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,AMAULI,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,ASODHAR,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,BAHUWA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,BHITAURA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,DEVMAI,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,DHATA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,HASWA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,HATHGAON,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,KHAJUHA,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,MALWAN,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,TELYANI,NA,NA,NA,NA
UTTAR PRADESH,FATEHPUR,VIJAYIPUR,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,ARANV,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,EKA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,FIROZABAD,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,JASRANA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,KHAIRGARH/HATBANT,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,MADANPUR,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NARKHI,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,SHIKOHABAD,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,TUNDLA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,BHOJPUR,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,BISRAKH,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,DADRI,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,DHAULANA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,GARH,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,HAPUR,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,LAUNI,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,MURADNAGAR,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,RAJAPUR,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,SIMBHAWALI,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,BARACHAWAR,0,6,0,6
UTTAR PRADESH,GHAZIPUR,BHADORA,NA,NA,NA,NA
