-----
{
 "description": "The table refers to block wise potential utilized through dugwells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.16.csv", 
 "title": "Download CSV for Block wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.16.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.1.csv", 
 "title": "Download CSV for Village wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to horse power of lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.10_1.csv", 
 "title": "Download CSV for Block wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.10_1.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.2.csv", 
 "title": "Download CSV for Village wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.12.csv", 
 "title": "Download CSV for Block wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.12.csv"
}
-----
"State","District","Block","Total number of dugwells","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"UTTAR PRADESH","ALLAHABAD","SARSAWAN",3,0,88,0
"UTTAR PRADESH","ALLAHABAD","SHANKARGARH",124,1,68,4
"UTTAR PRADESH","ALLAHABAD","SIRATHU",24,0,300,0
"UTTAR PRADESH","ALLAHABAD","SORAON",208,0,2,0
"UTTAR PRADESH","ALLAHABAD","URUWAN",9,0,207,0
"UTTAR PRADESH","ALMORA","BAGESHWAR",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","BHAISIACHHANA",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","BHIKIASAIN",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","CHAUKHUTIA",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","DHAULADEVI",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","DWARAHAT",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","GARUR",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","HAWALBAG",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","KAPKOT",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","LAMGARA",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","SALT",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","SYALDE",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","TAKULA",NA,NA,NA,NA
"UTTAR PRADESH","ALMORA","TARIKHET",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","BASHKHARI",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","BHITI",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAV",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","KATEHARI",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","RAM NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR","TANDA",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","AHIROLA",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","ATROULIA",5,0,50,0
"UTTAR PRADESH","AZAMGARH","AZAMATGARH",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","BILARIYA",12,0,233,0
"UTTAR PRADESH","AZAMGARH","HARIYA",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","JAHANA JANJ",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","KOAILSA",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","LALGANJ",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","MAHARAJGANJ",30,1,55,0
"UTTAR PRADESH","AZAMGARH","MARTIN GANJ",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","MEHNAGAR",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","MIRZA PUR",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","MOHAMMADPUR",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","PALHANI",1,170,40,0
"UTTAR PRADESH","AZAMGARH","PAWAI",7,0,0,0
"UTTAR PRADESH","AZAMGARH","PHOOL PUR",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","RANI KI SARAI",24,7,317,0
"UTTAR PRADESH","AZAMGARH","SANTHIYANVA",29,10,205,0
"UTTAR PRADESH","AZAMGARH","TAHAUWARPUR",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH","TARAWA",9,44,251,0
"UTTAR PRADESH","AZAMGARH","THEKAMA",4,0,16,0
"UTTAR PRADESH","BADAUN","AMBIYAPUR",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","ASAFPUR",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","BISAULI",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","DATAGANJ",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","DEHGWA",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","GUNNAUR",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","ISLAMNAGAR",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","JAGAT",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","JUNABAI",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","KADAR CHOKE",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","MYAUN",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","RAJPURA",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","SAHASWAN",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","SALARPUR",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","SAMRAR",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","UJHANI",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","USAWA",NA,NA,NA,NA
"UTTAR PRADESH","BADAUN","WAZIRGANJ",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","BALHA",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","CHITTURA",115,0,15,0
"UTTAR PRADESH","BAHRAICH","FAKARPUR",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","GILAULA",1,0,0,0
"UTTAR PRADESH","BAHRAICH","HARIHAR PUR RANI",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","HUJUR PUR",24,0,0,0
"UTTAR PRADESH","BAHRAICH","IKAUNA",66,0,5,0
"UTTAR PRADESH","BAHRAICH","JAMUNHA",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","JARWAL",16,0,2,0
"UTTAR PRADESH","BAHRAICH","KAISAR GANJ",95,4,95,0
"UTTAR PRADESH","BAHRAICH","MAHSHI",8,0,11,0
"UTTAR PRADESH","BAHRAICH","MIHIPURWA",5,0,12,0
"UTTAR PRADESH","BAHRAICH","NAWAB GANJ",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","PAYAG PUR",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","RISHIYA",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","SHIV PUR",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH","SIRSHIYA",1,0,0,0
"UTTAR PRADESH","BAHRAICH","TAJVAPUR",5,0,0,0
"UTTAR PRADESH","BAHRAICH","VISHESHAR GANJ",324,0,1,0
"UTTAR PRADESH","BALLIA","BAIRIA",10,38,88,0
"UTTAR PRADESH","BALLIA","BANSDEEH",NA,NA,NA,NA
"UTTAR PRADESH","BALLIA","BELHARI",89,0,12,0
"UTTAR PRADESH","BALLIA","BERUARBARI",NA,NA,NA,NA
"UTTAR PRADESH","BALLIA","CHILKHAR",201,0,3,0
"UTTAR PRADESH","BALLIA","DUBHAR",12,0,430,0
"UTTAR PRADESH","BALLIA","GARWARH",4,0,20,0
"UTTAR PRADESH","BALLIA","HANUMANGANJ",NA,NA,NA,NA
"UTTAR PRADESH","BALLIA","MANIER",NA,NA,NA,NA
"UTTAR PRADESH","BALLIA","MURLICHAPRA",NA,NA,NA,NA
"UTTAR PRADESH","BALLIA","NAGRA",NA,NA,NA,NA
"UTTAR PRADESH","BALLIA","NAWANAGAR",3,0,32,0
"UTTAR PRADESH","BALLIA","PANDAH",75,12,36,0
"UTTAR PRADESH","BALLIA","RASRA",3,0,41,0
"UTTAR PRADESH","BALLIA","REVOTI",87,1,7,0
"UTTAR PRADESH","BALLIA","SEAR",13,6,121,0
"UTTAR PRADESH","BALLIA","SOHAON",NA,NA,NA,NA
"UTTAR PRADESH","BANDA","BABERU",66,0,68,0
"UTTAR PRADESH","BANDA","BAROKHAR KHURD",16,0,187,0
"UTTAR PRADESH","BANDA","BISANDA",249,0,21,0
"UTTAR PRADESH","BANDA","JASPURA",385,10,83,1
"UTTAR PRADESH","BANDA","KAMASIN",58,1,54,0
"UTTAR PRADESH","BANDA","KARVI",1724,2,91,0
"UTTAR PRADESH","BANDA","MAHUVA",468,1,165,1
"UTTAR PRADESH","BANDA","MANIKPUR",620,18,114,2
"UTTAR PRADESH","BANDA","MAU",814,0,60,0
"UTTAR PRADESH","BANDA","NARAINI",1507,2,106,0
"UTTAR PRADESH","BANDA","PAHADI",465,16,96,2
"UTTAR PRADESH","BANDA","RAM NAGAR",110,0,44,0
"UTTAR PRADESH","BANDA","TINDWARI",66,4,82,0
"UTTAR PRADESH","BARABANKI","BANIKODAR",27,0,196,0
"UTTAR PRADESH","BARABANKI","BANKI",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","DARIYA BAD",78,0,71,0
"UTTAR PRADESH","BARABANKI","DEVA",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","FATEHPUR",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","HAIDAR GARH",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","HARAKHA",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","MASAULI",137,0,0,0
"UTTAR PRADESH","BARABANKI","MAVAI",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","NINDURA",25,0,6,0
"UTTAR PRADESH","BARABANKI","PUREDALAI",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","RAM NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","RUDAULI",1480,0,0,0
"UTTAR PRADESH","BARABANKI","SIDDHUAR",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","SIRAULI GOSEPUR",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","SURAT GANJ",NA,NA,NA,NA
"UTTAR PRADESH","BARABANKI","TRIVEDI GANJ",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","AALAMPUR JAFARABAD",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","BAHERI",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","BHADPURA",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","BHOJIPURA",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","BHUTA",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","BITHIRI CHAINPUR",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","FARIDPUR",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","FATEHGANJ (W)",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","KYARA",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","MAJHGAWAN",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","MIRGANJ",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","NAWABGANJ",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","RAM NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","RICHHA",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY","SHERGARH",NA,NA,NA,NA
"UTTAR PRADESH","BASTI","BAGHAULEE",80,0,10,0
"UTTAR PRADESH","BASTI","BAHADUR PUR",167,2,75,0
"UTTAR PRADESH","BASTI","BANKATI",280,5,53,0
"UTTAR PRADESH","BASTI","BASTI SADAR",NA,NA,NA,NA
"UTTAR PRADESH","BASTI","GAUR",55,0,7,0
"UTTAR PRADESH","BASTI","HAISAR BAZAR",98,0,11,0
"UTTAR PRADESH","BASTI","HARIYA",86,0,64,0
"UTTAR PRADESH","BASTI","KAPTAN GANG",33,0,30,0
"UTTAR PRADESH","BASTI","KHALILABAD",36,0,17,0
"UTTAR PRADESH","BASTI","KUDRAHA",86,0,5,0
"UTTAR PRADESH","BASTI","MENHDAWAL",3,0,50,0
"UTTAR PRADESH","BASTI","NATHNAGAR",NA,NA,NA,NA
"UTTAR PRADESH","BASTI","PARASRAMPUR",NA,NA,NA,NA
"UTTAR PRADESH","BASTI","RAM NAGAR",8,0,0,0
"UTTAR PRADESH","BASTI","RUDHOULI",21,1,22,0
"UTTAR PRADESH","BASTI","SALTAUA GOPAL PUR",48,5,37,0
"UTTAR PRADESH","BASTI","SAUGHAT",84,13,54,2
"UTTAR PRADESH","BASTI","SEMARIYAWAN",30,0,41,0
"UTTAR PRADESH","BASTI","VIKRAM JOT",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR","AFJAL GAR",25,0,32,3
"UTTAR PRADESH","BIJNOR","AKKU NAHTOOR",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR","DHAMPUR",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR","HALDOOR",14,19,102,0
"UTTAR PRADESH","BIJNOR","JALILPUR",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR","KIRATPUR",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR","KOTWALI",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR","MEERPUR HEVMAL",57,0,304,43
"UTTAR PRADESH","BIJNOR","NAJIVABAD",27,0,183,0
"UTTAR PRADESH","BIJNOR","NOORPUR",156,2,217,0
"UTTAR PRADESH","BIJNOR","SHIVHARA",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","ANUPSHAHR",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","ARNIRYA",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","B.B. NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","BULANDSHAHR",19,79,252,0
"UTTAR PRADESH","BULANDSHAHR","DANKAOR",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","DANPUR",29,78,244,0
"UTTAR PRADESH","BULANDSHAHR","DIBAI",9,83,232,0
"UTTAR PRADESH","BULANDSHAHR","GULAWATHI",7,71,266,0
"UTTAR PRADESH","BULANDSHAHR","JAHAGIRABAD",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","JEWAR",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","KHURJA",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","LAKHAWATI",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","PAHASU",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","SHIKARPUR",27,74,261,0
"UTTAR PRADESH","BULANDSHAHR","SIANA",7,71,251,0
"UTTAR PRADESH","BULANDSHAHR","SIKANDRABAD",NA,NA,NA,NA
"UTTAR PRADESH","BULANDSHAHR","UNCHAGAON",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","AUGUSTMUNI",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","DASHOLI",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","DEWAL",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","GAIRSEN",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","GHAT",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","JOSHIMATH",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","KARNPRAYAG",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","NARAYANBAGGAR",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","POKHARI",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","THARALI",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)","UKHIMATH",NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN","CHAKRATA",NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN","DOIWALA",2,125,200,0
"UTTAR PRADESH","DEHRADUN","KALSI",NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN","RAIPUR",NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN","SAHASPUR",31,0,103,44
"UTTAR PRADESH","DEHRADUN","VIKAS NAGAR",2,0,280,0
"UTTAR PRADESH","DEORIA","BAITALPUR",325,1,55,0
"UTTAR PRADESH","DEORIA","BANKATA",NA,NA,NA,NA
"UTTAR PRADESH","DEORIA","BARHAJ",430,1,17,0
"UTTAR PRADESH","DEORIA","BHAGALPUR",634,0,4,0
"UTTAR PRADESH","DEORIA","BHALUWANI",229,0,39,0
"UTTAR PRADESH","DEORIA","BHATANI",NA,NA,NA,NA
"UTTAR PRADESH","DEORIA","BHATPAR RANI",79,2,101,0
"UTTAR PRADESH","DEORIA","DEORIA SADAR",23,0,74,0
"UTTAR PRADESH","DEORIA","DESAHI DEORIA",192,0,4,0
"UTTAR PRADESH","DEORIA","GAURI BAZAR",383,0,6,0
"UTTAR PRADESH","DEORIA","LAR",234,0,46,2
"UTTAR PRADESH","DEORIA","PATHARDEVA",107,0,2,0
"UTTAR PRADESH","DEORIA","RAMPUR KARKHANA",720,1,8,0
"UTTAR PRADESH","DEORIA","RUDRAPUR",1,0,0,0
"UTTAR PRADESH","DEORIA","SALEMPUR",1,0,0,0
"UTTAR PRADESH","ETAH","ALIGANJ",123,0,82,0
"UTTAR PRADESH","ETAH","AMANPUR",20,0,67,0
"UTTAR PRADESH","ETAH","AWAGARH",43,37,197,7
"UTTAR PRADESH","ETAH","GANJDUNDWARA",296,1,23,0
"UTTAR PRADESH","ETAH","JAITHRA",NA,NA,NA,NA
"UTTAR PRADESH","ETAH","JALESAR",2,0,60,0
"UTTAR PRADESH","ETAH","KASGANJ",37,0,0,0
"UTTAR PRADESH","ETAH","MARAHERA",NA,NA,NA,NA
"UTTAR PRADESH","ETAH","NIDHOLI KALAN",41,7,131,0
"UTTAR PRADESH","ETAH","PATIYALI",NA,NA,NA,NA
"UTTAR PRADESH","ETAH","SAHAWAR",377,0,20,0
"UTTAR PRADESH","ETAH","SAKIT",NA,NA,NA,NA
"UTTAR PRADESH","ETAH","SHEETALPUR",76,7,211,0
"UTTAR PRADESH","ETAH","SIDHPURA",786,0,38,0
"UTTAR PRADESH","ETAH","SORON",19,0,33,0
"UTTAR PRADESH","ETAWAH","ACHHALDA",97,0,220,3
"UTTAR PRADESH","ETAWAH","AIRWA KATRA",18,0,184,0
"UTTAR PRADESH","ETAWAH","AJEETMAL",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","AURAIYA",19,0,103,0
"UTTAR PRADESH","ETAWAH","BADPURA",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","BASREHAR",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","BHAGAY NAGAR",49,0,38,0
"UTTAR PRADESH","ETAWAH","BHARTHANA",11,0,66,0
"UTTAR PRADESH","ETAWAH","BIDHUNA",127,0,25,0
"UTTAR PRADESH","ETAWAH","CHAKARNAGAR",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","JASWANT NAGAR",278,6,166,0
"UTTAR PRADESH","ETAWAH","MAHEWA",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","SAHAR",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","SAIPHAI",NA,NA,NA,NA
"UTTAR PRADESH","ETAWAH","TAKHA",15,1,70,0
"UTTAR PRADESH","FAIZABAD","AMANI GANJ",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","BIKAPUR",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","HASTINPUR",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","MASONDHA",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","MAYA",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","MILKI PUR",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","PURA",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","SOHAWAL",NA,NA,NA,NA
"UTTAR PRADESH","FAIZABAD","TARUN",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","BADPUR",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","CHHIBRAMAU",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","HASERAN",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","JALABAD",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","KAMALGANJ",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","KANNAUJ",56,99,256,2
"UTTAR PRADESH","FARUKHABAD","KAYAMGUNJ",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","MOHAMMADABAD",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","NAWABGANJ",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","RAJEPUR",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","SAURIKH",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","SHAMSABAD",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD","TALGRAM",1,0,200,0
"UTTAR PRADESH","FARUKHABAD","UMARDA",NA,NA,NA,NA
"UTTAR PRADESH","FATEHPUR","AIRAYA",13,2,101,0
"UTTAR PRADESH","FATEHPUR","AMAULI",181,0,25,0
"UTTAR PRADESH","FATEHPUR","ASODHAR",33,0,141,0
"UTTAR PRADESH","FATEHPUR","BAHUWA",146,2,146,0
"UTTAR PRADESH","FATEHPUR","BHITAURA",NA,NA,NA,NA
"UTTAR PRADESH","FATEHPUR","DEVMAI",946,0,20,0
"UTTAR PRADESH","FATEHPUR","DHATA",NA,NA,NA,NA
"UTTAR PRADESH","FATEHPUR","HASWA",149,2,200,0
"UTTAR PRADESH","FATEHPUR","HATHGAON",NA,NA,NA,NA
"UTTAR PRADESH","FATEHPUR","KHAJUHA",24,0,97,0
"UTTAR PRADESH","FATEHPUR","MALWAN",NA,NA,NA,NA
"UTTAR PRADESH","FATEHPUR","TELYANI",39,0,27,0
"UTTAR PRADESH","FATEHPUR","VIJAYIPUR",24,0,123,0
"UTTAR PRADESH","FIROZABAD","ARANV",NA,NA,NA,NA
"UTTAR PRADESH","FIROZABAD","EKA",174,0,225,0
"UTTAR PRADESH","FIROZABAD","FIROZABAD",200,41,474,6
"UTTAR PRADESH","FIROZABAD","JASRANA",434,0,15,0
"UTTAR PRADESH","FIROZABAD","KHAIRGARH/HATBANT",9,0,0,0
"UTTAR PRADESH","FIROZABAD","MADANPUR",205,2,161,0
"UTTAR PRADESH","FIROZABAD","NARKHI",3,0,267,0
"UTTAR PRADESH","FIROZABAD","SHIKOHABAD",406,0,1,0
"UTTAR PRADESH","FIROZABAD","TUNDLA",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","BHOJPUR",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","BISRAKH",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","DADRI",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","DHAULANA",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","GARH",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","HAPUR",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","LAUNI",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","MURADNAGAR",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","RAJAPUR",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIABAD","SIMBHAWALI",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR","BARACHAWAR",50,11,216,0
"UTTAR PRADESH","GHAZIPUR","BHADORA",47,0,93,0
"UTTAR PRADESH","GHAZIPUR","BHANWARKOL",9,0,64,0
"UTTAR PRADESH","GHAZIPUR","DEVKALI",7,0,131,0
"UTTAR PRADESH","GHAZIPUR","JAMANIYA",128,0,10,0
"UTTAR PRADESH","GHAZIPUR","KARNDA",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR","KASIMABAD",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR","MANIHARI",60,0,101,1
"UTTAR PRADESH","GHAZIPUR","MARADAH",5,0,0,0
"UTTAR PRADESH","GHAZIPUR","MOHMMADABAD",4,0,159,0
"UTTAR PRADESH","GHAZIPUR","REVTIPUR",33,0,94,0
"UTTAR PRADESH","GHAZIPUR","SADAR",9,0,0,0
"UTTAR PRADESH","GHAZIPUR","SADAT",23,7,121,0
"UTTAR PRADESH","GHAZIPUR","SAIDPUR",10,0,114,0
"UTTAR PRADESH","GHAZIPUR","VIRNO",14,0,75,0
"UTTAR PRADESH","GHAZIPUR","ZAKHANIA",32,0,85,0
"UTTAR PRADESH","GONDA","BALRAMPUR",316,0,9,0
"UTTAR PRADESH","GONDA","BELSAR",NA,NA,NA,NA
"UTTAR PRADESH","GONDA","BHABHANJOT",310,0,1,0
"UTTAR PRADESH","GONDA","CHHAPIA",NA,NA,NA,NA
"UTTAR PRADESH","GONDA","COLONELGANJ",NA,NA,NA,NA
"UTTAR PRADESH","GONDA","GAIDAS BUJURG",NA,NA,NA,NA
"UTTAR PRADESH","GONDA","GAISARI",NA,NA,NA,NA
"UTTAR PRADESH","GONDA","HALDAR MAU",NA,NA,NA,NA
